GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exercice11,com.exemple.repository,RepertoireTicketEnMemoire,7,39,0,2,1,8,1,4,1,3
Exercice11,com.exemple,Application,5,3,0,0,2,1,1,1,1,1
Exercice11,com.exemple.exception,TicketInvalideException,0,4,0,0,0,2,0,1,0,1
Exercice11,com.exemple.exception,TransitionInterditeException,0,4,0,0,0,2,0,1,0,1
Exercice11,com.exemple.exception,TicketIntrouvableException,0,4,0,0,0,2,0,1,0,1
Exercice11,com.exemple.exception,GestionnaireExceptions,0,30,0,0,0,4,0,4,0,4
Exercice11,com.exemple.service,ServiceTicket,2,107,1,16,0,22,1,15,0,7
Exercice11,com.exemple.controller,TicketController,4,31,0,0,1,7,1,4,1,4
Exercice11,com.exemple.model,Statut,0,21,0,0,0,4,0,1,0,1
Exercice11,com.exemple.model,Ticket,0,35,0,0,0,14,0,7,0,7
Exercice11,com.exemple.model,Priorite,0,21,0,0,0,4,0,1,0,1
Exercice11,com.exemple.dto,ChangerStatutRequest,0,6,0,0,0,1,0,1,0,1
Exercice11,com.exemple.dto,CreerTicketRequest,0,9,0,0,0,1,0,1,0,1
Exercice11,com.exemple.dto,ReponseErreur,0,6,0,0,0,1,0,1,0,1
