GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exercice7,com.exemple,ProfilClient,0,35,0,0,0,8,0,3,0,3
Exercice7,com.exemple,RecuCommande,0,15,0,0,0,1,0,1,0,1
Exercice7,com.exemple,ServiceCommande,0,63,0,2,0,13,0,4,0,3
Exercice7,com.exemple,CommandeRefuseeException,0,4,0,0,0,2,0,1,0,1
Exercice7,com.exemple,Produit,0,15,0,0,0,1,0,1,0,1
Exercice7,com.exemple,Commande,0,12,0,0,0,1,0,1,0,1
