GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exercice12,com.exemple.repository,RepertoireReservationEnMemoire,0,55,0,2,0,11,0,6,0,5
Exercice12,com.exemple.repository,RepertoireSalleEnMemoire,7,39,1,1,1,8,2,3,1,3
Exercice12,com.exemple,Application,5,3,0,0,2,1,1,1,1,1
Exercice12,com.exemple.exception,ConflitMetierException,0,4,0,0,0,2,0,1,0,1
Exercice12,com.exemple.exception,GestionnaireExceptions,0,30,0,0,0,4,0,4,0,4
Exercice12,com.exemple.exception,DonneesInvalidesException,0,4,0,0,0,2,0,1,0,1
Exercice12,com.exemple.exception,RessourceIntrouvableException,0,4,0,0,0,2,0,1,0,1
Exercice12,com.exemple.service,ServiceReservation,1,142,5,15,0,24,5,14,0,9
Exercice12,com.exemple.service,ServiceSalle,0,40,1,5,0,10,1,5,0,3
Exercice12,com.exemple.controller,SalleController,0,23,0,0,0,6,0,3,0,3
Exercice12,com.exemple.controller,ReservationController,0,33,0,0,0,8,0,4,0,4
Exercice12,com.exemple.model,StatutReservation,0,15,0,0,0,3,0,1,0,1
Exercice12,com.exemple.model,Reservation,0,47,0,0,0,18,0,9,0,9
Exercice12,com.exemple.model,Salle,0,25,0,0,0,10,0,5,0,5
Exercice12,com.exemple.dto,CreerReservationRequest,0,15,0,0,0,1,0,1,0,1
Exercice12,com.exemple.dto,ReponseErreur,0,6,0,0,0,1,0,1,0,1
Exercice12,com.exemple.dto,CreerSalleRequest,0,9,0,0,0,1,0,1,0,1
